,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutron irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To be neutron irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-ray irradiated,,,,,,,,,,,,,,,,Table to be used until diced,,,,,,"Currently all half moons at CERN are not diced, except the few used for X-ray campaign",,,,,,,,,,,,,
To be X-ray irradiated,,,,,,,,Full sensors,,,,,,,,Half moons (non-diced),,,,,, MOS+GCD,,Strip sensors,,Diodes (no p-stop),,,,,,PQC,,HPK structures,
Shipment to HPK week 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken/ sacrificed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor ID,Scratch pad ID,Thick- ness,P- Stop,Oxide type,Flat band volt. (V),P- Stop conc.,Proc.,Status in view of dicing frame removal,Current location,RINSC plan,Pre- irrad. test on DF,Pre- irrad. test off DF,Sent to RINSC?,RINSC irrad. round,Post irrad. test,UL,UR,LL,LR,Top,Bottom,"TS UL MOS, GCD","TS LR MOS, GCD",TS UR HGCAL mini Strip,TS LL Tracker like Strip (no p-stop split),TS UL Diodes (3 diodes),TS UR Diodes (2 diodes),TS UR Diodes (3 diodes),TS LL Diodes (2 diodes),TS LL Diodes (3 diodes),TS LR Diodes (3 diodes),TS UL PQC,TS LR PQC,TS Top,TS bottom
N4792_7,200093,200,com,C,-2,STD,FZ,removed from DF,FSU --> BROWN,RINSC 5.5E15,,,,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_8,200094,200,com,C,-2,STD,FZ,off DF,FSU --> BROWN,RINSC 4.0E15,"Done, FSU","TBD, FSU",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_9,200095,200,com,C,-2,STD,FZ,off DF,FSU --> BROWN,RINSC 5.5E15,"Done, FSU","TBD, FSU",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_10,200096,200,com,C,-2,STD,FZ,off DF,CERN,non.irr. ref.,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,HEPHY,HEPHY,HPK,CERN
N4792_11,200097,200,com,C,-2,STD,FZ,off DF,CERN,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN-> Ljubljana 4.0E15,CERN-> Ljubljana 4.0E15,CERN-> Ljubljana 4.0E15,CERN-> Ljubljana 4.0E15,CERN-> Ljubljana 4.0E15,CERN-> Ljubljana 4.0E15,HEPHY,HEPHY,HPK,CERN
N4792_12,200098,200,com,C,-2,STD,FZ,off DF,CERN,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN-> Ljubljana 5.5E15,CERN-> Ljubljana 5.5E15,CERN-> Ljubljana 5.5E15,CERN-> Ljubljana 5.5E15,CERN-> Ljubljana 5.5E15,CERN-> Ljubljana 5.5E15,HEPHY,HEPHY,HPK,CERN
N4792_13,200099,200,com,C,-2,STD,FZ,off DF,CERN,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4792_18,200104,200,ind,C,-2,STD,FZ,on DF,FSU,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_19,200105,200,ind,C,-2,STD,FZ,on DF,FSU,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_20,200106,200,ind,C,-2,STD,FZ,on DF,FSU --> BROWN,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
